"ID","Word","Description"
1,"Aberration","A departure from what is normal, usual, or expected, typically an unwelcome one."
2,"Benevolent","Well-meaning and kindly; showing goodwill and a desire to help others."
3,"Cacophony","A harsh, discordant mixture of sounds; a chaotic and jarring noise."
4,"Diligent","Having or showing care and conscientiousness in one's work or duties; industrious."
5,"Ebullient","Cheerful and full of energy; overflowing with enthusiasm."
6,"Furtive","Attempting to avoid notice or attention, typically because of guilt or a belief that discovery would lead to trouble."
7,"Gregarious","Enjoying the company of others; sociable and outgoing."
8,"Harangue","A lengthy and aggressive speech; a passionate verbal attack."
9,"Ineffable","Too great or extreme to be expressed in words; indescribable."
10,"Juxtaposition","The fact of two things being seen or placed close together for contrasting effect."
